"Start Date","End Date","Latvija","Kurzeme","Latgale","Rīga","Pierīga","Vidzeme","Zemgale","Daugavpils","Jelgava","Jēkabpils","Jūrmala","Liepāja","Rēzekne","Valmiera","Ventspils","Aizkraukles novads","Jaunjelgavas novads","Pļaviņu novads","Kokneses novads","Neretas novads","Alūksnes novads","Apes novads","Balvu novads","Viļakas novads","Baltinavas novads","Rugāju novads","Bauskas novads","Rundāles novads","Vecumnieku novads","Cēsu novads","Līgatnes novads","Amatas novads","Jaunpiebalgas novads","Priekuļu novads","Pārgaujas novads","Raunas novads","Vecpiebalgas novads","Daugavpils novads","Ilūkstes novads","Dobeles novads","Auces novads","Tērvetes novads","Gulbenes novads","Jelgavas novads","Ozolnieku novads","Jēkabpils novads","Aknīstes novads","Viesītes novads","Krustpils novads","Salas novads","Krāslavas novads","Dagdas novads","Aglonas novads","Kuldīgas novads","Skrundas novads","Alsungas novads","Aizputes novads","Durbes novads","Grobiņas novads","Pāvilostas novads","Priekules novads","Nīcas novads","Rucavas novads","Vaiņodes novads","Limbažu novads","Alojas novads","Salacgrīvas novads","Ludzas novads","Kārsavas novads","Zilupes novads","Ciblas novads","Madonas novads","Cesvaines novads","Lubānas novads","Varakļānu novads","Ērgļu novads","Ogres novads","Ikšķiles novads","Ķeguma novads","Lielvārdes novads","Preiļu novads","Līvānu novads","Riebiņu novads","Vārkavas novads","Rēzeknes novads","Viļānu novads","Baldones novads","Ķekavas novads","Olaines novads","Salaspils novads","Saulkrastu novads","Siguldas novads","Inčukalna novads","Babītes novads","Krimuldas novads","Mālpils novads","Ropažu novads","Sējas novads","Saldus novads","Brocēnu novads","Talsu novads","Dundagas novads","Tukuma novads","Kandavas novads","Engures novads","Jaunpils novads","Valkas novads","Smiltenes novads","Strenču novads","Kocēnu novads","Mazsalacas novads","Rūjienas novads","Beverīnas novads","Burtnieku novads","Naukšēnu novads","Ventspils novads","Aizkraukle","Aizkraukles pagasts","Jaunjelgava","Jaunjelgavas pagasts","Daudzeses pagasts","Seces pagasts","Sērenes pagasts","Staburaga pagasts","Sunākstes pagasts","Pļaviņas","Aiviekstes pagasts","Klintaines pagasts","Vietalvas pagasts","Bebru pagasts","Iršu pagasts","Kokneses pagasts","Mazzalves pagasts","Neretas pagasts","Zalves pagasts","Skrīveru novads","Alūksne","Alsviķu pagasts","Annas pagasts","Ilzenes pagasts","Jaunalūksnes pagasts","Jaunannas pagasts","Jaunlaicenes pagasts","Kalncempju pagasts","Liepnas pagasts","Malienas pagasts","Mālupes pagasts","Mārkalnes pagasts","Pededzes pagasts","Veclaicenes pagasts","Zeltiņu pagasts","Ziemera pagasts","Ape","Apes pagasts","Gaujienas pagasts","Trapenes pagasts","Virešu pagasts","Balvi","Balvu pagasts","Bērzkalnes pagasts","Bērzpils pagasts","Briežuciema pagasts","Krišjāņu pagasts","Kubulu pagasts","Lazdulejas pagasts","Tilžas pagasts","Vectilžas pagasts","Vīksnas pagasts","Viļaka","Kupravas pagasts","Medņevas pagasts","Susāju pagasts","Šķilbēnu pagasts","Vecumu pagasts","Žīguru pagasts","Lazdukalna pagasts","Rugāju pagasts","Bauska","Brunavas pagasts","Ceraukstes pagasts","Codes pagasts","Dāviņu pagasts","Gailīšu pagasts","Īslīces pagasts","Mežotnes pagasts","Vecsaules pagasts","Iecavas novads","Rundāles pagasts","Svitenes pagasts","Viesturu pagasts","Bārbeles pagasts","Kurmenes pagasts","Skaistkalnes pagasts","Stelpes pagasts","Valles pagasts","Vecumnieku pagasts","Cēsis","Vaives pagasts","Līgatne","Līgatnes pagasts","Amatas pagasts","Drabešu pagasts","Nītaures pagasts","Skujenes pagasts","Zaubes pagasts","Jaunpiebalgas pagasts","Zosēnu pagasts","Liepas pagasts","Mārsnēnu pagasts","Priekuļu pagasts","Veselavas pagasts","Raiskuma pagasts","Stalbes pagasts","Straupes pagasts","Drustu pagasts","Raunas pagasts","Dzērbenes pagasts","Inešu pagasts","Kaives pagasts","Taurenes pagasts","Vecpiebalgas pagasts","Ambeļu pagasts","Biķernieku pagasts","Demenes pagasts","Dubnas pagasts","Kalkūnes pagasts","Kalupes pagasts","Laucesas pagasts","Līksnas pagasts","Maļinovas pagasts","Medumu pagasts","Naujenes pagasts","Nīcgales pagasts","Salienas pagasts","Skrudalienas pagasts","Sventes pagasts","Tabores pagasts","Vaboles pagasts","Vecsalienas pagasts","Višķu pagasts","Ilūkste","Subate","Prodes pagasts","Bebrenes pagasts","Dvietes pagasts","Eglaines pagasts","Pilskalnes pagasts","Šēderes pagasts","Dobele","Annenieku pagasts","Auru pagasts","Bērzes pagasts","Bikstu pagasts","Dobeles pagasts","Jaunbērzes pagasts","Krimūnu pagasts","Naudītes pagasts","Penkules pagasts","Zebrenes pagasts","Auce","Vecauces pagasts","Bēnes pagasts","Īles pagasts","Lielauces pagasts","Ukru pagasts","Vītiņu pagasts","Augstkalnes pagasts","Bukaišu pagasts","Tērvetes pagasts","Gulbene","Beļavas pagasts","Daukstu pagasts","Druvienas pagasts","Galgauskas pagasts","Jaungulbenes pagasts","Lejasciema pagasts","Litenes pagasts","Lizuma pagasts","Līgo pagasts","Rankas pagasts","Stāmerienas pagasts","Stradu pagasts","Tirzas pagasts","Elejas pagasts","Glūdas pagasts","Jaunsvirlaukas pagasts","Kalnciema pagasts","Lielplatones pagasts","Līvbērzes pagasts","Platones pagasts","Sesavas pagasts","Svētes pagasts","Valgundes pagasts","Vilces pagasts","Vircavas pagasts","Zaļenieku pagasts","Cenu pagasts","Ozolnieku pagasts","Salgales pagasts","Ābeļu pagasts","Dignājas pagasts","Dunavas pagasts","Kalna pagasts","Leimaņu pagasts","Rubenes pagasts","Zasas pagasts","Aknīste","Aknīstes pagasts","Asares pagasts","Gārsenes pagasts","Viesīte","Viesītes pagasts","Elkšņu pagasts","Rites pagasts","Saukas pagasts","Atašienes pagasts","Krustpils pagasts","Kūku pagasts","Mežāres pagasts","Variešu pagasts","Vīpes pagasts","Sēlpils pagasts","Krāslava","Aulejas pagasts","Indras pagasts","Izvaltas pagasts","Kalniešu pagasts","Kaplavas pagasts","Kombuļu pagasts","Krāslavas pagasts","Piedrujas pagasts","Robežnieku pagasts","Skaistas pagasts","Ūdrīšu pagasts","Dagda","Andrupenes pagasts","Andzeļu pagasts","Asūnes pagasts","Bērziņu pagasts","Dagdas pagasts","Ezernieku pagasts","Konstantinovas pagasts","Ķepovas pagasts","Svariņu pagasts","Šķaunes pagasts","Aglonas pagasts","Grāveru pagasts","Kastuļinas pagasts","Šķeltovas pagasts","Kuldīga","Ēdoles pagasts","Gudenieku pagasts","Īvandes pagasts","Kabiles pagasts","Kurmāles pagasts","Laidu pagasts","Padures pagasts","Pelču pagasts","Rendas pagasts","Rumbas pagasts","Snēpeles pagasts","Turlavas pagasts","Vārmes pagasts","Skrunda","Skrundas pagasts","Nīkrāces pagasts","Raņķu pagasts","Rudbāržu pagasts","Aizpute","Aizputes pagasts","Cīravas pagasts","Kalvenes pagasts","Kazdangas pagasts","Lažas pagasts","Durbe","Durbes pagasts","Dunalkas pagasts","Tadaiķu pagasts","Vecpils pagasts","Grobiņa","Bārtas pagasts","Gaviezes pagasts","Grobiņas pagasts","Medzes pagasts","Pāvilosta","Sakas pagasts","Vērgales pagasts","Priekule","Bunkas pagasts","Gramzdas pagasts","Kalētu pagasts","Priekules pagasts","Virgas pagasts","Nīcas pagasts","Otaņķu pagasts","Dunikas pagasts","Rucavas pagasts","Embūtes pagasts","Vaiņodes pagasts","Limbaži","Katvaru pagasts","Limbažu pagasts","Pāles pagasts","Skultes pagasts","Umurgas pagasts","Vidrižu pagasts","Viļķenes pagasts","Aloja","Staicele","Alojas pagasts","Staiceles pagasts","Braslavas pagasts","Brīvzemnieku pagasts","Ainaži","Salacgrīva","Ainažu pagasts","Salacgrīvas pagasts","Liepupes pagasts","Ludza","Briģu pagasts","Cirmas pagasts","Isnaudas pagasts","Istras pagasts","Nirzas pagasts","Ņukšu pagasts","Pildas pagasts","Pureņu pagasts","Rundēnu pagasts","Kārsava","Goliševas pagasts","Malnavas pagasts","Mežvidu pagasts","Mērdzenes pagasts","Salnavas pagasts","Zilupe","Lauderu pagasts","Pasienes pagasts","Zaļesjes pagasts","Blontu pagasts","Ciblas pagasts","Līdumnieku pagasts","Pušmucovas pagasts","Zvirgzdenes pagasts","Madona","Aronas pagasts","Barkavas pagasts","Bērzaunes pagasts","Dzelzavas pagasts","Kalsnavas pagasts","Lazdonas pagasts","Liezēres pagasts","Ļaudonas pagasts","Mārcienas pagasts","Mētrienas pagasts","Ošupes pagasts","Praulienas pagasts","Sarkaņu pagasts","Vestienas pagasts","Cesvaine","Cesvaines pagasts","Lubāna","Indrānu pagasts","Varakļāni","Murmastienes pagasts","Varakļānu pagasts","Ērgļu pagasts","Jumurdas pagasts","Sausnējas pagasts","Ogre","Krapes pagasts","Ķeipenes pagasts","Lauberes pagasts","Madlienas pagasts","Mazozolu pagasts","Meņģeles pagasts","Ogresgala pagasts","Suntažu pagasts","Taurupes pagasts","Ikšķile","Tīnūžu pagasts","Ķegums","Tomes pagasts","Birzgales pagasts","Rembates pagasts","Lielvārde","Lielvārdes pagasts","Jumpravas pagasts","Lēdmanes pagasts","Preiļi","Aizkalnes pagasts","Pelēču pagasts","Preiļu pagasts","Saunas pagasts","Līvāni","Jersikas pagasts","Rožupes pagasts","Rudzātu pagasts","Sutru pagasts","Turku pagasts","Galēnu pagasts","Riebiņu pagasts","Rušonas pagasts","Silajāņu pagasts","Sīļukalna pagasts","Stabulnieku pagasts","Rožkalnu pagasts","Upmalas pagasts","Vārkavas pagasts","Audriņu pagasts","Bērzgales pagasts","Čornajas pagasts","Dricānu pagasts","Feimaņu pagasts","Gaigalavas pagasts","Griškānu pagasts","Ilzeskalna pagasts","Kantinieku pagasts","Kaunatas pagasts","Lendžu pagasts","Lūznavas pagasts","Maltas pagasts","Mākoņkalna pagasts","Nagļu pagasts","Ozolaines pagasts","Ozolmuižas pagasts","Pušas pagasts","Rikavas pagasts","Nautrēnu pagasts","Sakstagala pagasts","Silmalas pagasts","Stoļerovas pagasts","Stružānu pagasts","Vērēmu pagasts","Viļāni","Dekšāres pagasts","Sokolku pagasts","Viļānu pagasts","Baldone","Baldones pagasts","Baloži","Daugmales pagasts","Ķekavas pagasts","Olaine","Olaines pagasts","Salaspils","Salaspils pagasts","Saulkrasti","Saulkrastu pagasts","Sigulda","Allažu pagasts","Mores pagasts","Siguldas pagasts","Vangaži","Inčukalna pagasts","Ādažu novads","Babītes pagasts","Salas pagasts","Carnikavas novads","Garkalnes novads","Lēdurgas pagasts","Krimuldas pagasts","Mārupes novads","Stopiņu novads","Saldus","Ezeres pagasts","Jaunauces pagasts","Jaunlutriņu pagasts","Kursīšu pagasts","Lutriņu pagasts","Nīgrandes pagasts","Novadnieku pagasts","Pampāļu pagasts","Rubas pagasts","Saldus pagasts","Šķēdes pagasts","Vadakstes pagasts","Zaņas pagasts","Zirņu pagasts","Zvārdes pagasts","Brocēni","Cieceres pagasts","Blīdenes pagasts","Gaiķu pagasts","Remtes pagasts","Talsi","Sabile","Stende","Valdemārpils","Ārlavas pagasts","Abavas pagasts","Balgales pagasts","Ģibuļu pagasts","Īves pagasts","Ķūļciema pagasts","Laidzes pagasts","Laucienes pagasts","Lībagu pagasts","Lubes pagasts","Strazdes pagasts","Valdgales pagasts","Vandzenes pagasts","Virbu pagasts","Dundagas pagasts","Kolkas pagasts","Mērsraga novads","Rojas novads","Tukums","Degoles pagasts","Džūkstes pagasts","Irlavas pagasts","Jaunsātu pagasts","Lestenes pagasts","Pūres pagasts","Sēmes pagasts","Slampes pagasts","Tumes pagasts","Zentenes pagasts","Kandava","Cēres pagasts","Kandavas pagasts","Matkules pagasts","Vānes pagasts","Zantes pagasts","Zemītes pagasts","Engures pagasts","Lapmežciema pagasts","Smārdes pagasts","Jaunpils pagasts","Viesatu pagasts","Valka","Ērģemes pagasts","Kārķu pagasts","Valkas pagasts","Vijciema pagasts","Zvārtavas pagasts","Smiltene","Bilskas pagasts","Blomes pagasts","Brantu pagasts","Grundzāles pagasts","Launkalnes pagasts","Palsmanes pagasts","Smiltenes pagasts","Variņu pagasts","Seda","Strenči","Jērcēnu pagasts","Plāņu pagasts","Bērzaines pagasts","Dikļu pagasts","Kocēnu pagasts","Vaidavas pagasts","Zilākalna pagasts","Mazsalaca","Mazsalacas pagasts","Ramatas pagasts","Sēļu pagasts","Skaņkalnes pagasts","Rūjiena","Ipiķu pagasts","Jeru pagasts","Lodes pagasts","Vilpulkas pagasts","Brenguļu pagasts","Kauguru pagasts","Trikātas pagasts","Burtnieku pagasts","Ēveles pagasts","Matīšu pagasts","Rencēnu pagasts","Valmieras pagasts","Vecates pagasts","Ķoņu pagasts","Naukšēnu pagasts","Piltene","Piltenes pagasts","Ances pagasts","Jūrkalnes pagasts","Popes pagasts","Puzes pagasts","Tārgales pagasts","Ugāles pagasts","Usmas pagasts","Užavas pagasts","Vārves pagasts","Ziru pagasts","Zlēku pagasts"
"2018-01-01","2018-01-31","6.00","1.71","2.60","6.00","6.83","2.27","3.13","2.20","4.00","1.57","8.52","5.16","0.00","3.00","0.92","0.00","2.67","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.19","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.20","0.00","0.00","0.00","0.00","0.00","5.00","0.00","1.70","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.95","0.00","0.00","0.00","1.71","0.00","0.00","0.00","0.00","0.00","0.00","1.07","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.04","5.00","4.30","0.28","0.00","0.00","3.00","0.00","0.00","0.00","0.00","0.00","3.48","5.31","3.12","7.14","5.26","0.00","6.80","0.00","0.00","5.63","0.00","2.60","0.00","1.18","0.00","0.00","0.27","14.11","0.00","2.00","0.00","0.00","0.00","0.00","0.00","0.00","0.81","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.67","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.19","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.13","0.00","5.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.70","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.99","0.00","0.00","0.91","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.71","1.71","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.07","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.04","0.00","0.00","5.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.95","4.30","0.28","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9.17","3.64","3.48","0.00","5.31","0.00","3.12","9.00","5.92","5.26","0.00","0.00","0.00","0.00","0.00","6.57","6.80","0.00","5.50","5.61","0.00","0.00","5.73","6.55","2.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.69","0.00","0.65","0.94","0.94","0.00","0.00","0.00","0.00","0.00","1.18","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.27","0.00","0.27","0.00","0.00","0.00","0.00","12.50","15.71","0.00","0.00","0.00","0.00","2.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.81","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2018-02-01","2018-02-28","6.15","3.22","2.33","6.55","6.79","0.84","4.00","4.44","4.50","0.00","8.57","4.69","1.67","0.00","3.45","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.56","0.00","0.85","0.00","0.00","0.00","4.44","0.00","0.00","0.00","0.00","0.00","0.00","3.13","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.07","0.00","0.00","3.75","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.50","2.22","4.29","0.00","0.00","3.00","0.00","0.00","0.93","0.00","0.00","6.96","4.81","6.11","5.42","0.00","3.50","7.03","0.00","0.00","2.86","0.00","3.00","0.00","0.00","0.00","0.00","0.00","9.58","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.13","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.56","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.85","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.13","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.07","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.75","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.44","2.22","0.00","0.00","0.00","4.29","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7.64","7.00","4.09","0.00","4.81","0.00","6.11","12.14","4.61","0.00","0.00","0.00","0.00","0.00","3.50","6.70","7.50","2.79","5.76","4.78","0.00","0.00","6.00","5.82","3.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9.58","15.27","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.43","0.83","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
