"Start Date","End Date","Latvija","Kurzeme","Latgale","Rīga","Pierīga","Vidzeme","Zemgale","Daugavpils","Jelgava","Jēkabpils","Jūrmala","Liepāja","Rēzekne","Valmiera","Ventspils","Aizkraukles novads","Jaunjelgavas novads","Pļaviņu novads","Kokneses novads","Neretas novads","Alūksnes novads","Apes novads","Balvu novads","Viļakas novads","Baltinavas novads","Rugāju novads","Bauskas novads","Rundāles novads","Vecumnieku novads","Cēsu novads","Līgatnes novads","Amatas novads","Jaunpiebalgas novads","Priekuļu novads","Pārgaujas novads","Raunas novads","Vecpiebalgas novads","Daugavpils novads","Ilūkstes novads","Dobeles novads","Auces novads","Tērvetes novads","Gulbenes novads","Jelgavas novads","Ozolnieku novads","Jēkabpils novads","Aknīstes novads","Viesītes novads","Krustpils novads","Salas novads","Krāslavas novads","Dagdas novads","Aglonas novads","Kuldīgas novads","Skrundas novads","Alsungas novads","Aizputes novads","Durbes novads","Grobiņas novads","Pāvilostas novads","Priekules novads","Nīcas novads","Rucavas novads","Vaiņodes novads","Limbažu novads","Alojas novads","Salacgrīvas novads","Ludzas novads","Kārsavas novads","Zilupes novads","Ciblas novads","Madonas novads","Cesvaines novads","Lubānas novads","Varakļānu novads","Ērgļu novads","Ogres novads","Ikšķiles novads","Ķeguma novads","Lielvārdes novads","Preiļu novads","Līvānu novads","Riebiņu novads","Vārkavas novads","Rēzeknes novads","Viļānu novads","Baldones novads","Ķekavas novads","Olaines novads","Salaspils novads","Saulkrastu novads","Siguldas novads","Inčukalna novads","Babītes novads","Krimuldas novads","Mālpils novads","Ropažu novads","Sējas novads","Saldus novads","Brocēnu novads","Talsu novads","Dundagas novads","Tukuma novads","Kandavas novads","Engures novads","Jaunpils novads","Valkas novads","Smiltenes novads","Strenču novads","Kocēnu novads","Mazsalacas novads","Rūjienas novads","Beverīnas novads","Burtnieku novads","Naukšēnu novads","Ventspils novads","Aizkraukle","Aizkraukles pagasts","Jaunjelgava","Jaunjelgavas pagasts","Daudzeses pagasts","Seces pagasts","Sērenes pagasts","Staburaga pagasts","Sunākstes pagasts","Pļaviņas","Aiviekstes pagasts","Klintaines pagasts","Vietalvas pagasts","Bebru pagasts","Iršu pagasts","Kokneses pagasts","Mazzalves pagasts","Neretas pagasts","Zalves pagasts","Skrīveru novads","Alūksne","Alsviķu pagasts","Annas pagasts","Ilzenes pagasts","Jaunalūksnes pagasts","Jaunannas pagasts","Jaunlaicenes pagasts","Kalncempju pagasts","Liepnas pagasts","Malienas pagasts","Mālupes pagasts","Mārkalnes pagasts","Pededzes pagasts","Veclaicenes pagasts","Zeltiņu pagasts","Ziemera pagasts","Ape","Apes pagasts","Gaujienas pagasts","Trapenes pagasts","Virešu pagasts","Balvi","Balvu pagasts","Bērzkalnes pagasts","Bērzpils pagasts","Briežuciema pagasts","Krišjāņu pagasts","Kubulu pagasts","Lazdulejas pagasts","Tilžas pagasts","Vectilžas pagasts","Vīksnas pagasts","Viļaka","Kupravas pagasts","Medņevas pagasts","Susāju pagasts","Šķilbēnu pagasts","Vecumu pagasts","Žīguru pagasts","Lazdukalna pagasts","Rugāju pagasts","Bauska","Brunavas pagasts","Ceraukstes pagasts","Codes pagasts","Dāviņu pagasts","Gailīšu pagasts","Īslīces pagasts","Mežotnes pagasts","Vecsaules pagasts","Iecavas novads","Rundāles pagasts","Svitenes pagasts","Viesturu pagasts","Bārbeles pagasts","Kurmenes pagasts","Skaistkalnes pagasts","Stelpes pagasts","Valles pagasts","Vecumnieku pagasts","Cēsis","Vaives pagasts","Līgatne","Līgatnes pagasts","Amatas pagasts","Drabešu pagasts","Nītaures pagasts","Skujenes pagasts","Zaubes pagasts","Jaunpiebalgas pagasts","Zosēnu pagasts","Liepas pagasts","Mārsnēnu pagasts","Priekuļu pagasts","Veselavas pagasts","Raiskuma pagasts","Stalbes pagasts","Straupes pagasts","Drustu pagasts","Raunas pagasts","Dzērbenes pagasts","Inešu pagasts","Kaives pagasts","Taurenes pagasts","Vecpiebalgas pagasts","Ambeļu pagasts","Biķernieku pagasts","Demenes pagasts","Dubnas pagasts","Kalkūnes pagasts","Kalupes pagasts","Laucesas pagasts","Līksnas pagasts","Maļinovas pagasts","Medumu pagasts","Naujenes pagasts","Nīcgales pagasts","Salienas pagasts","Skrudalienas pagasts","Sventes pagasts","Tabores pagasts","Vaboles pagasts","Vecsalienas pagasts","Višķu pagasts","Ilūkste","Subate","Prodes pagasts","Bebrenes pagasts","Dvietes pagasts","Eglaines pagasts","Pilskalnes pagasts","Šēderes pagasts","Dobele","Annenieku pagasts","Auru pagasts","Bērzes pagasts","Bikstu pagasts","Dobeles pagasts","Jaunbērzes pagasts","Krimūnu pagasts","Naudītes pagasts","Penkules pagasts","Zebrenes pagasts","Auce","Vecauces pagasts","Bēnes pagasts","Īles pagasts","Lielauces pagasts","Ukru pagasts","Vītiņu pagasts","Augstkalnes pagasts","Bukaišu pagasts","Tērvetes pagasts","Gulbene","Beļavas pagasts","Daukstu pagasts","Druvienas pagasts","Galgauskas pagasts","Jaungulbenes pagasts","Lejasciema pagasts","Litenes pagasts","Lizuma pagasts","Līgo pagasts","Rankas pagasts","Stāmerienas pagasts","Stradu pagasts","Tirzas pagasts","Elejas pagasts","Glūdas pagasts","Jaunsvirlaukas pagasts","Kalnciema pagasts","Lielplatones pagasts","Līvbērzes pagasts","Platones pagasts","Sesavas pagasts","Svētes pagasts","Valgundes pagasts","Vilces pagasts","Vircavas pagasts","Zaļenieku pagasts","Cenu pagasts","Ozolnieku pagasts","Salgales pagasts","Ābeļu pagasts","Dignājas pagasts","Dunavas pagasts","Kalna pagasts","Leimaņu pagasts","Rubenes pagasts","Zasas pagasts","Aknīste","Aknīstes pagasts","Asares pagasts","Gārsenes pagasts","Viesīte","Viesītes pagasts","Elkšņu pagasts","Rites pagasts","Saukas pagasts","Atašienes pagasts","Krustpils pagasts","Kūku pagasts","Mežāres pagasts","Variešu pagasts","Vīpes pagasts","Sēlpils pagasts","Krāslava","Aulejas pagasts","Indras pagasts","Izvaltas pagasts","Kalniešu pagasts","Kaplavas pagasts","Kombuļu pagasts","Krāslavas pagasts","Piedrujas pagasts","Robežnieku pagasts","Skaistas pagasts","Ūdrīšu pagasts","Dagda","Andrupenes pagasts","Andzeļu pagasts","Asūnes pagasts","Bērziņu pagasts","Dagdas pagasts","Ezernieku pagasts","Konstantinovas pagasts","Ķepovas pagasts","Svariņu pagasts","Šķaunes pagasts","Aglonas pagasts","Grāveru pagasts","Kastuļinas pagasts","Šķeltovas pagasts","Kuldīga","Ēdoles pagasts","Gudenieku pagasts","Īvandes pagasts","Kabiles pagasts","Kurmāles pagasts","Laidu pagasts","Padures pagasts","Pelču pagasts","Rendas pagasts","Rumbas pagasts","Snēpeles pagasts","Turlavas pagasts","Vārmes pagasts","Skrunda","Skrundas pagasts","Nīkrāces pagasts","Raņķu pagasts","Rudbāržu pagasts","Aizpute","Aizputes pagasts","Cīravas pagasts","Kalvenes pagasts","Kazdangas pagasts","Lažas pagasts","Durbe","Durbes pagasts","Dunalkas pagasts","Tadaiķu pagasts","Vecpils pagasts","Grobiņa","Bārtas pagasts","Gaviezes pagasts","Grobiņas pagasts","Medzes pagasts","Pāvilosta","Sakas pagasts","Vērgales pagasts","Priekule","Bunkas pagasts","Gramzdas pagasts","Kalētu pagasts","Priekules pagasts","Virgas pagasts","Nīcas pagasts","Otaņķu pagasts","Dunikas pagasts","Rucavas pagasts","Embūtes pagasts","Vaiņodes pagasts","Limbaži","Katvaru pagasts","Limbažu pagasts","Pāles pagasts","Skultes pagasts","Umurgas pagasts","Vidrižu pagasts","Viļķenes pagasts","Aloja","Staicele","Alojas pagasts","Staiceles pagasts","Braslavas pagasts","Brīvzemnieku pagasts","Ainaži","Salacgrīva","Ainažu pagasts","Salacgrīvas pagasts","Liepupes pagasts","Ludza","Briģu pagasts","Cirmas pagasts","Isnaudas pagasts","Istras pagasts","Nirzas pagasts","Ņukšu pagasts","Pildas pagasts","Pureņu pagasts","Rundēnu pagasts","Kārsava","Goliševas pagasts","Malnavas pagasts","Mežvidu pagasts","Mērdzenes pagasts","Salnavas pagasts","Zilupe","Lauderu pagasts","Pasienes pagasts","Zaļesjes pagasts","Blontu pagasts","Ciblas pagasts","Līdumnieku pagasts","Pušmucovas pagasts","Zvirgzdenes pagasts","Madona","Aronas pagasts","Barkavas pagasts","Bērzaunes pagasts","Dzelzavas pagasts","Kalsnavas pagasts","Lazdonas pagasts","Liezēres pagasts","Ļaudonas pagasts","Mārcienas pagasts","Mētrienas pagasts","Ošupes pagasts","Praulienas pagasts","Sarkaņu pagasts","Vestienas pagasts","Cesvaine","Cesvaines pagasts","Lubāna","Indrānu pagasts","Varakļāni","Murmastienes pagasts","Varakļānu pagasts","Ērgļu pagasts","Jumurdas pagasts","Sausnējas pagasts","Ogre","Krapes pagasts","Ķeipenes pagasts","Lauberes pagasts","Madlienas pagasts","Mazozolu pagasts","Meņģeles pagasts","Ogresgala pagasts","Suntažu pagasts","Taurupes pagasts","Ikšķile","Tīnūžu pagasts","Ķegums","Tomes pagasts","Birzgales pagasts","Rembates pagasts","Lielvārde","Lielvārdes pagasts","Jumpravas pagasts","Lēdmanes pagasts","Preiļi","Aizkalnes pagasts","Pelēču pagasts","Preiļu pagasts","Saunas pagasts","Līvāni","Jersikas pagasts","Rožupes pagasts","Rudzātu pagasts","Sutru pagasts","Turku pagasts","Galēnu pagasts","Riebiņu pagasts","Rušonas pagasts","Silajāņu pagasts","Sīļukalna pagasts","Stabulnieku pagasts","Rožkalnu pagasts","Upmalas pagasts","Vārkavas pagasts","Audriņu pagasts","Bērzgales pagasts","Čornajas pagasts","Dricānu pagasts","Feimaņu pagasts","Gaigalavas pagasts","Griškānu pagasts","Ilzeskalna pagasts","Kantinieku pagasts","Kaunatas pagasts","Lendžu pagasts","Lūznavas pagasts","Maltas pagasts","Mākoņkalna pagasts","Nagļu pagasts","Ozolaines pagasts","Ozolmuižas pagasts","Pušas pagasts","Rikavas pagasts","Nautrēnu pagasts","Sakstagala pagasts","Silmalas pagasts","Stoļerovas pagasts","Stružānu pagasts","Vērēmu pagasts","Viļāni","Dekšāres pagasts","Sokolku pagasts","Viļānu pagasts","Baldone","Baldones pagasts","Baloži","Daugmales pagasts","Ķekavas pagasts","Olaine","Olaines pagasts","Salaspils","Salaspils pagasts","Saulkrasti","Saulkrastu pagasts","Sigulda","Allažu pagasts","Mores pagasts","Siguldas pagasts","Vangaži","Inčukalna pagasts","Ādažu novads","Babītes pagasts","Salas pagasts","Carnikavas novads","Garkalnes novads","Lēdurgas pagasts","Krimuldas pagasts","Mārupes novads","Stopiņu novads","Saldus","Ezeres pagasts","Jaunauces pagasts","Jaunlutriņu pagasts","Kursīšu pagasts","Lutriņu pagasts","Nīgrandes pagasts","Novadnieku pagasts","Pampāļu pagasts","Rubas pagasts","Saldus pagasts","Šķēdes pagasts","Vadakstes pagasts","Zaņas pagasts","Zirņu pagasts","Zvārdes pagasts","Brocēni","Cieceres pagasts","Blīdenes pagasts","Gaiķu pagasts","Remtes pagasts","Talsi","Sabile","Stende","Valdemārpils","Ārlavas pagasts","Abavas pagasts","Balgales pagasts","Ģibuļu pagasts","Īves pagasts","Ķūļciema pagasts","Laidzes pagasts","Laucienes pagasts","Lībagu pagasts","Lubes pagasts","Strazdes pagasts","Valdgales pagasts","Vandzenes pagasts","Virbu pagasts","Dundagas pagasts","Kolkas pagasts","Mērsraga novads","Rojas novads","Tukums","Degoles pagasts","Džūkstes pagasts","Irlavas pagasts","Jaunsātu pagasts","Lestenes pagasts","Pūres pagasts","Sēmes pagasts","Slampes pagasts","Tumes pagasts","Zentenes pagasts","Kandava","Cēres pagasts","Kandavas pagasts","Matkules pagasts","Vānes pagasts","Zantes pagasts","Zemītes pagasts","Engures pagasts","Lapmežciema pagasts","Smārdes pagasts","Jaunpils pagasts","Viesatu pagasts","Valka","Ērģemes pagasts","Kārķu pagasts","Valkas pagasts","Vijciema pagasts","Zvārtavas pagasts","Smiltene","Bilskas pagasts","Blomes pagasts","Brantu pagasts","Grundzāles pagasts","Launkalnes pagasts","Palsmanes pagasts","Smiltenes pagasts","Variņu pagasts","Seda","Strenči","Jērcēnu pagasts","Plāņu pagasts","Bērzaines pagasts","Dikļu pagasts","Kocēnu pagasts","Vaidavas pagasts","Zilākalna pagasts","Mazsalaca","Mazsalacas pagasts","Ramatas pagasts","Sēļu pagasts","Skaņkalnes pagasts","Rūjiena","Ipiķu pagasts","Jeru pagasts","Lodes pagasts","Vilpulkas pagasts","Brenguļu pagasts","Kauguru pagasts","Trikātas pagasts","Burtnieku pagasts","Ēveles pagasts","Matīšu pagasts","Rencēnu pagasts","Valmieras pagasts","Vecates pagasts","Ķoņu pagasts","Naukšēnu pagasts","Piltene","Piltenes pagasts","Ances pagasts","Jūrkalnes pagasts","Popes pagasts","Puzes pagasts","Tārgales pagasts","Ugāles pagasts","Usmas pagasts","Užavas pagasts","Vārves pagasts","Ziru pagasts","Zlēku pagasts"
"2018-01-01","2018-01-31","1100","180","712.5","780","1225","260","250","220","400","125","1600","330","0","300","1100","0","80","0","0","0","0","0","0","0","0","0","0","0","0","260","0","0","0","0","0","0","0","220","0","0","0","0","0","250","0","170","0","0","0","0","0","0","0","180","0","0","30","350","0","0","0","0","0","0","150","0","0","0","0","0","0","0","0","0","0","500","500","710","6175","0","0","1205","0","0","0","0","0","800","425","382.5","250","790","0","1300","0","0","450","0","130","0","200","0","0","200","1100","0","150","0","0","0","0","0","0","50","0","0","0","0","0","0","0","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","260","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","225","0","250","0","0","0","0","0","0","0","0","0","0","0","0","170","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","240","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","350","350","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","500","0","0","500","0","0","0","0","0","0","0","0","0","750","710","350","12000","0","0","0","0","0","0","0","0","0","0","0","1205","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1100","400","800","0","425","0","382.5","450","200","790","0","0","0","0","0","1950","1300","0","550","1750","0","0","1325","700","130","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","260","0","100","150","150","0","0","0","0","0","330","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","200","0","200","0","0","0","0","1250","1100","0","0","0","0","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2018-02-01","2018-02-28","1400","200","150","1180","1600","210","500","200","550","0","2000","200","100","0","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","300","0","220","0","0","0","200","0","0","0","0","0","0","500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","750","0","0","0","0","0","0","0","0","0","0","0","450","400","900","0","0","1205","0","0","55","0","0","800","865","110","850","0","700","1150","0","0","1000","0","150","0","0","0","0","0","1000","0","0","0","0","0","0","0","0","125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","300","0","0","0","0","0","0","0","220","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","750","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","325","0","0","2800","0","0","0","0","0","0","700","400","0","0","0","900","0","0","0","0","0","0","0","0","0","1205","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","900","700","900","0","865","0","110","850","750","0","0","0","0","0","700","1950","1125","1900","900","1800","0","0","1500","770","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","1200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","200","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2018-03-01","2018-03-31","1000","249.5","672.5","920","1200","220","200","140","200","0","1500","1700","0","0","299","0","0","0","0","0","0","0","0","0","0","0","80","0","0","120","0","175","0","220","0","0","0","140","0","0","0","0","10","0","0","0","0","0","500","0","0","0","0","0","0","0","30","0","0","0","0","0","100","0","700","0","0","0","0","0","0","200","0","0","0","400","1000","600","0","100","0","1205","0","0","0","0","0","800","865","495","600","630","300","1150","0","0","0","710","160","0","190","0","0","0","900","0","0","220","0","0","0","0","30","275","0","1400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80","0","0","0","0","195","0","0","0","0","0","0","0","0","0","120","0","0","0","0","175","0","0","0","0","0","0","0","220","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","400","0","0","700","0","0","0","0","0","0","0","1100","0","600","600","0","0","0","0","100","0","0","0","0","0","0","0","0","1205","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","400","850","0","865","0","495","575","600","630","0","0","0","0","300","1800","1150","0","775","1600","0","0","1300","650","160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0","0","0","0","330","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","700","0","0","0","0","0","0","0","0","0","220","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","275","0","0","0","0","0","0","0","0","0","0","0","0","0","1400","0","0","0"
"2018-04-01","2018-04-30","900","600","175","875","1000","262.5","300","500","275","425","1600","600","0","350","1000","70","0","0","0","0","50","0","0","0","0","0","390","0","0","0","0","175","0","250","0","0","0","500","0","0","0","0","0","285","700","0","0","0","30","0","0","0","0","300","0","0","0","350","0","0","0","0","0","0","700","0","0","50","0","0","0","0","0","0","0","400","170","475","0","0","0","0","0","0","10","0","0","800","200","100","600","0","700","1100","0","250","275","625","0","0","0","0","130","200","800","0","0","0","0","0","0","0","0","262.5","0","0","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","180","0","0","0","0","0","0","0","600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","175","0","0","0","0","0","0","0","250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","350","0","0","0","0","0","0","0","220","0","0","0","0","0","0","700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","350","350","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","200","0","0","700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","400","0","0","170","0","0","0","0","0","0","0","0","0","475","475","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","950","550","400","0","200","0","100","600","575","0","0","0","0","0","700","1490","1100","1900","435","1200","0","0","1000","890","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","130","0","0","0","0","0","0","0","0","0","0","200","0","200","0","0","0","0","550","800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","275","250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2018-05-01","2018-05-31","750","350","250","900","900","100","150","250","290","150","1500","3000","0","100","0","0","0","0","0","0","0","0","0","0","0","0","250","0","0","160","280","0","0","70","0","0","0","250","0","10","70","0","0","0","150","0","0","0","450","0","0","0","0","100","0","0","30","350","0","0","0","0","0","0","650","0","0","50","0","0","0","0","0","0","0","400","150","600","0","450","0","300","0","0","0","0","800","350","100","770","500","700","0","1200","400","0","0","450","0","0","0","0","400","200","800","0","0","0","0","82.5","0","0","20","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","160","0","0","280","0","0","0","0","0","0","0","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","450","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","350","350","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","700","0","0","0","600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","400","0","0","300","0","0","150","0","0","0","0","0","0","625","600","0","0","0","0","0","450","0","0","0","0","0","0","0","300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","800","325","400","0","0","100","550","770","650","400","700","0","0","0","0","0","525","1200","1900","490","970","0","400","1450","475","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","675","400","0","0","0","0","0","0","0","0","0","0","200","0","200","0","0","0","0","750","800","350","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","140","25","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
