"Start Date","End Date","Latvija","Kurzeme","Latgale","Rīga","Pierīga","Vidzeme","Zemgale","Daugavpils","Jelgava","Jēkabpils","Jūrmala","Liepāja","Rēzekne","Valmiera","Ventspils","Aizkraukles novads","Jaunjelgavas novads","Pļaviņu novads","Kokneses novads","Neretas novads","Alūksnes novads","Apes novads","Balvu novads","Viļakas novads","Baltinavas novads","Rugāju novads","Bauskas novads","Rundāles novads","Vecumnieku novads","Cēsu novads","Līgatnes novads","Amatas novads","Jaunpiebalgas novads","Priekuļu novads","Pārgaujas novads","Raunas novads","Vecpiebalgas novads","Daugavpils novads","Ilūkstes novads","Dobeles novads","Auces novads","Tērvetes novads","Gulbenes novads","Jelgavas novads","Ozolnieku novads","Jēkabpils novads","Aknīstes novads","Viesītes novads","Krustpils novads","Salas novads","Krāslavas novads","Dagdas novads","Aglonas novads","Kuldīgas novads","Skrundas novads","Alsungas novads","Aizputes novads","Durbes novads","Grobiņas novads","Pāvilostas novads","Priekules novads","Nīcas novads","Rucavas novads","Vaiņodes novads","Limbažu novads","Alojas novads","Salacgrīvas novads","Ludzas novads","Kārsavas novads","Zilupes novads","Ciblas novads","Madonas novads","Cesvaines novads","Lubānas novads","Varakļānu novads","Ērgļu novads","Ogres novads","Ikšķiles novads","Ķeguma novads","Lielvārdes novads","Preiļu novads","Līvānu novads","Riebiņu novads","Vārkavas novads","Rēzeknes novads","Viļānu novads","Baldones novads","Ķekavas novads","Olaines novads","Salaspils novads","Saulkrastu novads","Siguldas novads","Inčukalna novads","Babītes novads","Krimuldas novads","Mālpils novads","Ropažu novads","Sējas novads","Saldus novads","Brocēnu novads","Talsu novads","Dundagas novads","Tukuma novads","Kandavas novads","Engures novads","Jaunpils novads","Valkas novads","Smiltenes novads","Strenču novads","Kocēnu novads","Mazsalacas novads","Rūjienas novads","Beverīnas novads","Burtnieku novads","Naukšēnu novads","Ventspils novads","Aizkraukle","Aizkraukles pagasts","Jaunjelgava","Jaunjelgavas pagasts","Daudzeses pagasts","Seces pagasts","Sērenes pagasts","Staburaga pagasts","Sunākstes pagasts","Pļaviņas","Aiviekstes pagasts","Klintaines pagasts","Vietalvas pagasts","Bebru pagasts","Iršu pagasts","Kokneses pagasts","Mazzalves pagasts","Neretas pagasts","Zalves pagasts","Skrīveru novads","Alūksne","Alsviķu pagasts","Annas pagasts","Ilzenes pagasts","Jaunalūksnes pagasts","Jaunannas pagasts","Jaunlaicenes pagasts","Kalncempju pagasts","Liepnas pagasts","Malienas pagasts","Mālupes pagasts","Mārkalnes pagasts","Pededzes pagasts","Veclaicenes pagasts","Zeltiņu pagasts","Ziemera pagasts","Ape","Apes pagasts","Gaujienas pagasts","Trapenes pagasts","Virešu pagasts","Balvi","Balvu pagasts","Bērzkalnes pagasts","Bērzpils pagasts","Briežuciema pagasts","Krišjāņu pagasts","Kubulu pagasts","Lazdulejas pagasts","Tilžas pagasts","Vectilžas pagasts","Vīksnas pagasts","Viļaka","Kupravas pagasts","Medņevas pagasts","Susāju pagasts","Šķilbēnu pagasts","Vecumu pagasts","Žīguru pagasts","Lazdukalna pagasts","Rugāju pagasts","Bauska","Brunavas pagasts","Ceraukstes pagasts","Codes pagasts","Dāviņu pagasts","Gailīšu pagasts","Īslīces pagasts","Mežotnes pagasts","Vecsaules pagasts","Iecavas novads","Rundāles pagasts","Svitenes pagasts","Viesturu pagasts","Bārbeles pagasts","Kurmenes pagasts","Skaistkalnes pagasts","Stelpes pagasts","Valles pagasts","Vecumnieku pagasts","Cēsis","Vaives pagasts","Līgatne","Līgatnes pagasts","Amatas pagasts","Drabešu pagasts","Nītaures pagasts","Skujenes pagasts","Zaubes pagasts","Jaunpiebalgas pagasts","Zosēnu pagasts","Liepas pagasts","Mārsnēnu pagasts","Priekuļu pagasts","Veselavas pagasts","Raiskuma pagasts","Stalbes pagasts","Straupes pagasts","Drustu pagasts","Raunas pagasts","Dzērbenes pagasts","Inešu pagasts","Kaives pagasts","Taurenes pagasts","Vecpiebalgas pagasts","Ambeļu pagasts","Biķernieku pagasts","Demenes pagasts","Dubnas pagasts","Kalkūnes pagasts","Kalupes pagasts","Laucesas pagasts","Līksnas pagasts","Maļinovas pagasts","Medumu pagasts","Naujenes pagasts","Nīcgales pagasts","Salienas pagasts","Skrudalienas pagasts","Sventes pagasts","Tabores pagasts","Vaboles pagasts","Vecsalienas pagasts","Višķu pagasts","Ilūkste","Subate","Prodes pagasts","Bebrenes pagasts","Dvietes pagasts","Eglaines pagasts","Pilskalnes pagasts","Šēderes pagasts","Dobele","Annenieku pagasts","Auru pagasts","Bērzes pagasts","Bikstu pagasts","Dobeles pagasts","Jaunbērzes pagasts","Krimūnu pagasts","Naudītes pagasts","Penkules pagasts","Zebrenes pagasts","Auce","Vecauces pagasts","Bēnes pagasts","Īles pagasts","Lielauces pagasts","Ukru pagasts","Vītiņu pagasts","Augstkalnes pagasts","Bukaišu pagasts","Tērvetes pagasts","Gulbene","Beļavas pagasts","Daukstu pagasts","Druvienas pagasts","Galgauskas pagasts","Jaungulbenes pagasts","Lejasciema pagasts","Litenes pagasts","Lizuma pagasts","Līgo pagasts","Rankas pagasts","Stāmerienas pagasts","Stradu pagasts","Tirzas pagasts","Elejas pagasts","Glūdas pagasts","Jaunsvirlaukas pagasts","Kalnciema pagasts","Lielplatones pagasts","Līvbērzes pagasts","Platones pagasts","Sesavas pagasts","Svētes pagasts","Valgundes pagasts","Vilces pagasts","Vircavas pagasts","Zaļenieku pagasts","Cenu pagasts","Ozolnieku pagasts","Salgales pagasts","Ābeļu pagasts","Dignājas pagasts","Dunavas pagasts","Kalna pagasts","Leimaņu pagasts","Rubenes pagasts","Zasas pagasts","Aknīste","Aknīstes pagasts","Asares pagasts","Gārsenes pagasts","Viesīte","Viesītes pagasts","Elkšņu pagasts","Rites pagasts","Saukas pagasts","Atašienes pagasts","Krustpils pagasts","Kūku pagasts","Mežāres pagasts","Variešu pagasts","Vīpes pagasts","Sēlpils pagasts","Krāslava","Aulejas pagasts","Indras pagasts","Izvaltas pagasts","Kalniešu pagasts","Kaplavas pagasts","Kombuļu pagasts","Krāslavas pagasts","Piedrujas pagasts","Robežnieku pagasts","Skaistas pagasts","Ūdrīšu pagasts","Dagda","Andrupenes pagasts","Andzeļu pagasts","Asūnes pagasts","Bērziņu pagasts","Dagdas pagasts","Ezernieku pagasts","Konstantinovas pagasts","Ķepovas pagasts","Svariņu pagasts","Šķaunes pagasts","Aglonas pagasts","Grāveru pagasts","Kastuļinas pagasts","Šķeltovas pagasts","Kuldīga","Ēdoles pagasts","Gudenieku pagasts","Īvandes pagasts","Kabiles pagasts","Kurmāles pagasts","Laidu pagasts","Padures pagasts","Pelču pagasts","Rendas pagasts","Rumbas pagasts","Snēpeles pagasts","Turlavas pagasts","Vārmes pagasts","Skrunda","Skrundas pagasts","Nīkrāces pagasts","Raņķu pagasts","Rudbāržu pagasts","Aizpute","Aizputes pagasts","Cīravas pagasts","Kalvenes pagasts","Kazdangas pagasts","Lažas pagasts","Durbe","Durbes pagasts","Dunalkas pagasts","Tadaiķu pagasts","Vecpils pagasts","Grobiņa","Bārtas pagasts","Gaviezes pagasts","Grobiņas pagasts","Medzes pagasts","Pāvilosta","Sakas pagasts","Vērgales pagasts","Priekule","Bunkas pagasts","Gramzdas pagasts","Kalētu pagasts","Priekules pagasts","Virgas pagasts","Nīcas pagasts","Otaņķu pagasts","Dunikas pagasts","Rucavas pagasts","Embūtes pagasts","Vaiņodes pagasts","Limbaži","Katvaru pagasts","Limbažu pagasts","Pāles pagasts","Skultes pagasts","Umurgas pagasts","Vidrižu pagasts","Viļķenes pagasts","Aloja","Staicele","Alojas pagasts","Staiceles pagasts","Braslavas pagasts","Brīvzemnieku pagasts","Ainaži","Salacgrīva","Ainažu pagasts","Salacgrīvas pagasts","Liepupes pagasts","Ludza","Briģu pagasts","Cirmas pagasts","Isnaudas pagasts","Istras pagasts","Nirzas pagasts","Ņukšu pagasts","Pildas pagasts","Pureņu pagasts","Rundēnu pagasts","Kārsava","Goliševas pagasts","Malnavas pagasts","Mežvidu pagasts","Mērdzenes pagasts","Salnavas pagasts","Zilupe","Lauderu pagasts","Pasienes pagasts","Zaļesjes pagasts","Blontu pagasts","Ciblas pagasts","Līdumnieku pagasts","Pušmucovas pagasts","Zvirgzdenes pagasts","Madona","Aronas pagasts","Barkavas pagasts","Bērzaunes pagasts","Dzelzavas pagasts","Kalsnavas pagasts","Lazdonas pagasts","Liezēres pagasts","Ļaudonas pagasts","Mārcienas pagasts","Mētrienas pagasts","Ošupes pagasts","Praulienas pagasts","Sarkaņu pagasts","Vestienas pagasts","Cesvaine","Cesvaines pagasts","Lubāna","Indrānu pagasts","Varakļāni","Murmastienes pagasts","Varakļānu pagasts","Ērgļu pagasts","Jumurdas pagasts","Sausnējas pagasts","Ogre","Krapes pagasts","Ķeipenes pagasts","Lauberes pagasts","Madlienas pagasts","Mazozolu pagasts","Meņģeles pagasts","Ogresgala pagasts","Suntažu pagasts","Taurupes pagasts","Ikšķile","Tīnūžu pagasts","Ķegums","Tomes pagasts","Birzgales pagasts","Rembates pagasts","Lielvārde","Lielvārdes pagasts","Jumpravas pagasts","Lēdmanes pagasts","Preiļi","Aizkalnes pagasts","Pelēču pagasts","Preiļu pagasts","Saunas pagasts","Līvāni","Jersikas pagasts","Rožupes pagasts","Rudzātu pagasts","Sutru pagasts","Turku pagasts","Galēnu pagasts","Riebiņu pagasts","Rušonas pagasts","Silajāņu pagasts","Sīļukalna pagasts","Stabulnieku pagasts","Rožkalnu pagasts","Upmalas pagasts","Vārkavas pagasts","Audriņu pagasts","Bērzgales pagasts","Čornajas pagasts","Dricānu pagasts","Feimaņu pagasts","Gaigalavas pagasts","Griškānu pagasts","Ilzeskalna pagasts","Kantinieku pagasts","Kaunatas pagasts","Lendžu pagasts","Lūznavas pagasts","Maltas pagasts","Mākoņkalna pagasts","Nagļu pagasts","Ozolaines pagasts","Ozolmuižas pagasts","Pušas pagasts","Rikavas pagasts","Nautrēnu pagasts","Sakstagala pagasts","Silmalas pagasts","Stoļerovas pagasts","Stružānu pagasts","Vērēmu pagasts","Viļāni","Dekšāres pagasts","Sokolku pagasts","Viļānu pagasts","Baldone","Baldones pagasts","Baloži","Daugmales pagasts","Ķekavas pagasts","Olaine","Olaines pagasts","Salaspils","Salaspils pagasts","Saulkrasti","Saulkrastu pagasts","Sigulda","Allažu pagasts","Mores pagasts","Siguldas pagasts","Vangaži","Inčukalna pagasts","Ādažu novads","Babītes pagasts","Salas pagasts","Carnikavas novads","Garkalnes novads","Lēdurgas pagasts","Krimuldas pagasts","Mārupes novads","Stopiņu novads","Saldus","Ezeres pagasts","Jaunauces pagasts","Jaunlutriņu pagasts","Kursīšu pagasts","Lutriņu pagasts","Nīgrandes pagasts","Novadnieku pagasts","Pampāļu pagasts","Rubas pagasts","Saldus pagasts","Šķēdes pagasts","Vadakstes pagasts","Zaņas pagasts","Zirņu pagasts","Zvārdes pagasts","Brocēni","Cieceres pagasts","Blīdenes pagasts","Gaiķu pagasts","Remtes pagasts","Talsi","Sabile","Stende","Valdemārpils","Ārlavas pagasts","Abavas pagasts","Balgales pagasts","Ģibuļu pagasts","Īves pagasts","Ķūļciema pagasts","Laidzes pagasts","Laucienes pagasts","Lībagu pagasts","Lubes pagasts","Strazdes pagasts","Valdgales pagasts","Vandzenes pagasts","Virbu pagasts","Dundagas pagasts","Kolkas pagasts","Mērsraga novads","Rojas novads","Tukums","Degoles pagasts","Džūkstes pagasts","Irlavas pagasts","Jaunsātu pagasts","Lestenes pagasts","Pūres pagasts","Sēmes pagasts","Slampes pagasts","Tumes pagasts","Zentenes pagasts","Kandava","Cēres pagasts","Kandavas pagasts","Matkules pagasts","Vānes pagasts","Zantes pagasts","Zemītes pagasts","Engures pagasts","Lapmežciema pagasts","Smārdes pagasts","Jaunpils pagasts","Viesatu pagasts","Valka","Ērģemes pagasts","Kārķu pagasts","Valkas pagasts","Vijciema pagasts","Zvārtavas pagasts","Smiltene","Bilskas pagasts","Blomes pagasts","Brantu pagasts","Grundzāles pagasts","Launkalnes pagasts","Palsmanes pagasts","Smiltenes pagasts","Variņu pagasts","Seda","Strenči","Jērcēnu pagasts","Plāņu pagasts","Bērzaines pagasts","Dikļu pagasts","Kocēnu pagasts","Vaidavas pagasts","Zilākalna pagasts","Mazsalaca","Mazsalacas pagasts","Ramatas pagasts","Sēļu pagasts","Skaņkalnes pagasts","Rūjiena","Ipiķu pagasts","Jeru pagasts","Lodes pagasts","Vilpulkas pagasts","Brenguļu pagasts","Kauguru pagasts","Trikātas pagasts","Burtnieku pagasts","Ēveles pagasts","Matīšu pagasts","Rencēnu pagasts","Valmieras pagasts","Vecates pagasts","Ķoņu pagasts","Naukšēnu pagasts","Piltene","Piltenes pagasts","Ances pagasts","Jūrkalnes pagasts","Popes pagasts","Puzes pagasts","Tārgales pagasts","Ugāles pagasts","Usmas pagasts","Užavas pagasts","Vārves pagasts","Ziru pagasts","Zlēku pagasts"
"2018-01-01","2018-01-31","250","140","80","320","280","150","160","80","190","100","600","140","100","200","140","110","0","0","60","220","57.5","0","0","0","0","0","155","0","0","150","85","170","0","110","0","0","0","80","0","142.5","0","0","70","170","200","0","0","0","20","60","20","0","0","120","11000","0","0","0","0","0","0","0","0","0","100","0","0","30","15","0","0","100","0","0","40","0","190","220","182.5","0","30","30","0","0","100","0","275","380","170","200","200","205","175","370","0","0","200","0","155","100","100","0","160","0","150","0","115","165","0","160","0","65","0","250","0","52.5","105","150","0","0","0","0","0","0","0","0","0","0","0","0","0","60","0","0","220","0","57.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","160","0","0","200","0","100","135","0","250","95","0","0","0","0","0","0","0","0","0","150","0","110","60","0","170","0","0","0","0","0","70","0","130","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","145","0","0","0","0","0","0","130","0","0","0","0","0","0","0","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","70","0","0","0","0","0","200","100","0","10000","0","0","130","170","0","0","0","150","210","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","135","0","0","0","60","100","0","0","100","0","0","0","0","0","0","0","0","11000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90","0","0","0","0","105","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","0","0","0","0","0","190","0","0","0","0","0","0","80","0","0","250","220","245","200","0","130","0","0","0","0","30","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","275","275","305","0","470","200","170","210","200","190","225","215","0","0","200","200","90","290","370","0","210","250","0","0","430","260","155","0","0","0","0","0","0","0","0","0","175","0","0","0","0","0","0","100","0","0","0","67.5","0","0","10","10","0","0","140","0","0","0","0","0","0","0","0","0","0","0","0","0","100","160","0","0","0","0","0","0","0","0","200","0","0","0","0","0","0","0","0","150","0","150","0","0","115","0","0","0","0","0","165","0","0","0","0","0","0","0","0","0","0","0","0","0","160","0","0","0","0","0","0","0","0","65","0","0","0","0","0","0","0","0","0","0","0","250","0","0","0","0","0","0","0","0","0","100","30","0","0","0","0","0"
"2018-02-01","2018-02-28","250","130","80","310","375","170","180","72.5","190","70","850","150","130","200","110","123","0","50","100","0","65","0","0","0","0","0","160","0","70","170","0","0","0","150","0","115","0","75","0","125","0","0","89","137.5","260","0","0","0","80","0","25","0","0","125","0","0","50","0","65","0","0","0","0","0","130","0","0","30","0","0","0","200","0","0","0","50","185","260","120","0","90","25","0","0","120","30","250","400","180","200","265","220","122.5","800","0","0","220","0","130","150","110","0","163.5","0","150","0","100","150","0","50","0","0","0","270","0","70","130","111.5","0","0","0","0","0","0","0","50","0","0","0","0","0","100","0","0","0","0","65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","172.5","0","0","0","0","0","105","0","120","180","0","0","0","0","0","0","0","0","70","170","0","0","0","0","0","0","0","0","0","0","0","0","150","0","0","0","0","0","115","0","0","0","0","0","0","0","0","0","0","0","180","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","130","0","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","119.5","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","175","135","0","30","140","0","0","135","0","0","0","0","270","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","130","0","0","0","0","80","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","130","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0","0","185","0","0","850","0","0","0","100","110","0","270","260","160","0","0","100","0","0","0","0","90","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","30","0","0","0","250","250","410","0","400","180","180","200","200","265","0","220","0","0","0","140","110","350","850","800","290","310","0","0","420","220","130","0","0","0","0","0","0","200","0","0","0","0","0","0","0","0","150","150","0","0","0","132.5","0","60","50","50","0","0","140","0","100","100","0","0","0","0","0","0","0","0","0","175","0","167","0","0","0","0","0","0","0","0","150","0","0","0","0","0","0","0","0","0","0","150","0","0","100","0","0","0","0","0","150","0","0","0","0","0","0","0","0","0","0","0","0","50","40","125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","270","0","0","0","0","0","0","0","0","0","85","70","0","0","0","0","0"
"2018-03-01","2018-03-31","250","120","100","300","350","180","150","120","180","80","700","130","100","200","120","120","0","0","41.25","0","40","0","0","0","0","0","145","0","0","180","150","185","0","152.5","0","0","50","105","0","105","0","0","80","165","170","0","0","0","0","150","20","0","0","80","0","0","0","0","75","0","0","100","70","0","100","0","0","40","0","0","0","100","0","0","0","0","180","250","100","80","40","60","0","0","100","0","160","410","180","220","499","220","160","380","0","0","230","0","130","115","132.5","0","175","0","0","0","60","180","0","50","0","0","120","210","0","100","120","110","0","0","0","0","0","0","0","0","0","0","0","0","0","41.25","0","0","0","0","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","150","0","140","125","0","150","80","0","0","0","0","0","0","0","0","0","0","0","0","180","0","0","150","0","185","0","0","0","0","0","0","0","152.5","0","0","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","110","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","165","0","0","200","0","0","0","160","0","0","0","120","250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.5","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","30","0","0","65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75","0","0","75","0","0","0","0","0","0","0","0","0","0","100","0","70","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","105","0","0","0","0","0","0","0","0","0","0","0","90","0","0","0","0","0","0","0","0","0","0","0","0","180","0","0","0","0","0","0","100","0","0","300","250","100","0","0","115","80","0","0","0","40","0","0","0","0","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","160","160","400","0","410","205","180","220","220","499","0","245","0","0","200","150","170","300","340","800","180","230","0","0","400","250","100","0","0","0","0","0","0","0","0","0","150","0","0","0","0","0","115","115","0","0","0","150","0","80","60","60","0","0","150","0","135","0","50","130","0","0","0","0","0","0","0","150","0","180","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","60","0","0","0","0","0","150","0","0","0","0","180","0","0","0","0","0","0","0","10","0","0","90","0","0","0","0","0","0","0","0","0","0","0","0","120","0","0","0","0","0","210","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0"
"2018-04-01","2018-04-30","250","140","100","300","390","165","172.5","100","190","120","825","145","130","200","165","100","70","0","100","0","62.5","0","130","0","0","0","130","0","0","150","140","197.5","0","110","100","0","0","90","0","150","0","0","70","125","225","0","0","0","0","170","25","0","0","120","0","0","0","0","85","0","0","0","0","0","67.5","0","0","30","0","0","0","80","0","0","0","50","200","350","150","175","0","30","0","0","130","0","0","467.5","200","200","250","225","235","495","0","250","230","0","145","90","100","300","150","160","0","0","0","140","0","0","0","0","175","230","0","0","100","100","70","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","100","62.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","130","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","150","0","0","120","0","0","85","0","0","160","0","0","0","0","0","0","0","0","0","150","0","140","140","0","197.5","0","0","0","0","0","80","0","155","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","150","0","3550","0","0","0","150","0","0","1500","0","0","0","0","0","0","0","0","0","0","0","70","70","0","30","0","0","0","0","0","0","0","0","0","0","0","230","100","70","0","0","150","0","0","0","0","0","0","0","225","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","0","0","0","0","140","0","115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80","0","0","85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","67.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","110","0","0","0","0","0","80","0","0","0","0","0","0","0","75","0","0","0","0","0","0","0","50","0","0","200","0","0","0","0","0","0","0","0","0","350","350","150","0","0","130","175","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","400","0","470","220","200","200","200","250","0","225","0","0","0","235","190","260","495","0","250","50","0","0","432","245","150","0","0","0","0","0","0","0","0","0","80","0","0","0","0","0","90","90","0","0","0","130","0","50","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","300","0","200","140","0","0","0","0","0","0","0","0","200","0","160","0","160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","140","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","300","0","50","0","0","0","0","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2018-05-01","2018-05-31","250","140","110","300","400","180","175","105","200","80","1000","150","150","200","150","100","70","70","0","0","0","0","100","0","0","0","120","0","75","185","160","150","0","240","0","0","0","100","0","158.65","0","70","82.5","150","255","0","0","0","0","0","0","0","0","100","0","0","0","30","0","0","0","100","0","0","105","0","350","0","0","0","0","125","0","0","0","0","180","225","97.5","105","0","0","0","0","150","0","130","400","190","225","1700","290","160","500","0","0","250","0","120","100","140","0","140","167.5","140","100","50","200","0","120","0","0","200","0","0","0","130","100","70","0","0","0","0","0","0","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","150","0","0","115","70","0","85","0","0","120","0","0","0","0","0","0","75","0","0","185","0","0","160","0","150","0","0","0","0","0","20","0","250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","158.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70","75","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","150","0","0","0","0","0","0","0","0","0","100","345","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","142.5","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","350","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","142.5","0","0","0","0","0","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","180","0","0","0","0","0","0","175","0","0","24625","225","45","0","0","150","105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","130","130","347.5","0","450","200","190","220","225","1700","0","375","0","0","180","150","235","289.5","440","2000","275","0","0","0","450","190","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","0","0","0","140","0","60","50","50","0","0","150","0","120","175","0","0","0","0","0","0","0","0","0","0","0","130","0","0","0","0","0","0","0","0","200","0","160","0","167.5","0","0","0","0","0","0","140","100","0","50","0","0","0","0","0","200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","0","0","0","0","0","0","0","0","0","0","200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
